,type_post,username,name,following_count,follower_count,user_id,post_id,caption,timestamp,date_post,comment_count,like_count,retweet_count,user_likes,video_view,display_url,is_video,link,link.1,Brand,Likes_TW,Keyword/Hashtag,replies_count,Owner ID,source,ID
40611,,_generation_g,Generation_G,852,714,','1789740134138565348,'Selamat hari raya Waisak buat #GENERATION_G yang merayakan! May your life be full with peace and happiness on this day of enlightenment.,29-05-18 13:01,,0.0,106.0,,,,,,https://www.instagram.com/p/BjWbytnltLk,,GG,,generation_g,,,IG,
40612,,urbangigs,Urban GiGs,4128,881,','1789015117418063040,"'#GENERATION_G, di dunia musik  ada banyak nama genre yang jarang banget kita dengar. Nah, kalau dari 4 genre ini, mana yang menurut lo beneran ada? #UrbanGiGs",28-05-18 13:00,,5.0,629.0,,,,,,https://www.instagram.com/p/BjT28VLgeTA,,GG,,generation_g,,,IG,
40613,,_generation_g,Generation_G,852,714,','1789014847843074433,"'Ternyata, 5 hal ini adalah gaya istirahat andalan para professional yang kreatif lho, #GENERATION_G! Udah pernah melakukan istirahat yang mana aja, nih?",28-05-18 13:00,,7.0,413.0,,,,,,https://www.instagram.com/p/BjT24aHlgGB,,GG,,generation_g,,,IG,
40614,,urbangigs,Urban GiGs,4128,881,','1787565274887661270,"'Some people think itâ€™s cool, and somebody donâ€™t. Mention temen lo yang hobinya ngumpulin wristband konser, ya, #GENERATION_G! #UrbanGiGs",26-05-18 13:00,,35.0,1225.0,,,,,,https://www.instagram.com/p/BjOtSWGgKbW,,GG,,generation_g,,,IG,
40615,,_generation_g,Generation_G,852,714,','1787565262011202569,"'Ini dia beberapa tips para traveler untuk lo yang mau mencari tiket murah! Hmm.. mau ke mana 7 minggu dari sekarang, #GENERATION_G?",26-05-18 13:00,,0.0,123.0,,,,,,https://www.instagram.com/p/BjOtSKHAXwJ,,GG,,generation_g,,,IG,
40616,,cast_bounds,Cast Bounds,5225,612,','1786047318179245186,'In PicðŸ“· @wizkhalifa  Follow . . @cast_bounds . .  #generationalwealth #tiktokgeneration #trillergeneration #mygeneration #generation #kidsgeneration #nextgeneration #generationx #beatgeneration #generationyoung #thenextgeneration #generationy #generationiron #generation1 #newgeneration #prilaga #generation_g #generationz #generationofmiracles #girlgeneration #leadgeneration #generation2 #generationsfromexiletribe #generations #musergeneration #firstgeneration,24-05-18 10:44,,2.0,28.0,,,,,,https://www.instagram.com/p/BjJUJKwHOyC,,GG,,generation_g,,,IG,
40617,,_generation_g,Generation_G,852,714,','1785487167109195541,"'Lucasfilm merilis Solo : A Star Wars Story yang berfokus pada cerita Han Solo saat  berhadapan dengan Lando dalam permainan Sebacc! Want some twists? Donald Glover a.k.a Childish Gambino berperan sebagai Lando di sini, #GENERATION_G!  Penampilan siapa yang paling lo tunggu di film ini?",23-05-18 16:11,,1.0,84.0,,,,,,https://www.instagram.com/p/BjHUx5aj-cV,,GG,,generation_g,,,IG,
40618,,_generation_g,Generation_G,852,714,','1785342884134132112,'Siapa yang suka kaya gini? Bisa hitung berapa banyak baju hitam dan putih di lemari lo? #GENERATION_G,23-05-18 11:24,,14.0,264.0,,,,,,https://www.instagram.com/p/BjGz-TbFhmQ,,GG,,generation_g,,,IG,
40619,,urbangigs,Urban GiGs,4128,881,','1784788879916742207,"'#GENERATION_G, menurut lo ada lagi nggak nih musisi yang kostumnya ikonik banget? #UrbanGiGs",22-05-18 17:05,,8.0,190.0,,,,,,https://www.instagram.com/p/BjE2AeygTY_,,GG,,generation_g,,,IG,
40620,,_generation_g,Generation_G,852,714,','1783216618252313225,"'TV series yang dibintangi dan juga diangkat dari pengalaman  Aziz Ansari dari sebelum ia menjadi aktor ini bisa bikin kita â€˜binge-watchingâ€™ karena alur cerita yang unik, nggak ngebosenin, kocak, dan bikin penasaran! Bisa-bisa lupa kalo udah mau buka puasa lho, #GENERATION_G!  Sebutin TV series yang bikin lo pengen lanjutin terus di kolom komen!",20-05-18 13:00,,2.0,97.0,,,,,,https://www.instagram.com/p/Bi_QhEAgKKJ,,GG,,generation_g,,,IG,
40621,,_generation_g,Generation_G,852,714,','1782491840759511415,"'April kemarin, Museum Nasional bikin acara buat nyobain gimana rasanya sensasi nginep di museum. Kalau ada lagi, museum apa ya yang seru buat jadi lokasinya? #GENERATION_G",19-05-18 13:00,,3.0,142.0,,,,,,https://www.instagram.com/p/Bi8ruKXgLl3,,GG,,generation_g,,,IG,
40622,,zack.k8841,Zack.k,578,1149,','1782017261571431514,'Tak ada kata berhenti  #fotografheryerde #fotografer #fothograpy #ciutadellademenorca #generation_g #fotoseadanya #like4like #ramdhan2018,18-05-18 21:17,,0.0,6.0,,,,,,https://www.instagram.com/p/Bi6_0IDlFxa,,GG,,generation_g,,,IG,
40623,,_generation_g,Generation_G,852,714,','1781767083818898542,"'#GENERATION_G, the superhero with a humour twist is back! Film Deadpool 2 sudah mulai tayang lho. Tag temen yang bakal lo ajak nonton ini sambil ngabuburit bareng!",18-05-18 13:00,,4.0,280.0,,,,,,https://www.instagram.com/p/Bi6G7j3glRu,,GG,,generation_g,,,IG,
40624,,marycelesteofficial,Mary Celeste Arras,4438,1210,','1781450371212698387,"'My look for the day, thanks to my new products from @glossier ðŸ’•ðŸŽ¹Iâ€™m in LOVE with the cloud paints! And the Boy Brow! And the Generation G Crush colored lip stick! â€¢ â€¢ â€¢ â€¢ â€¢ â€¢ #glossier #boybrow #cloudpaint #dusk #beam #generation_g #crush #makeup #green #kendrascott #hollister #rosebrownhair #selfie #ididmyownhairagain #boomerang #warm #naturalmakeup #pink",18-05-18 2:37,,8.0,32.0,,,,,,https://www.instagram.com/p/Bi4-6yRHuMT,,GG,,generation_g,,,IG,
40625,,laika_id,Laika,2086,2609,','1781054143601280915,"'#Repost @urbangigs â€¢ â€¢ â€¢ Welcoming the Holy month of Ramadan, itâ€™s time to sleep less and pray more. Selamat menjalan ibadah puasa buat para #GENERATION_G yang merayakan! Kegiatan apa nih yang paling lo tunggu di bulan Ramadan? #UrbanGiGs",17-05-18 13:23,,0.0,12.0,,,,,,https://www.instagram.com/p/Bi3k06jF4eT,,GG,,generation_g,,,IG,
40626,,_generation_g,Generation_G,852,714,','1781042345274249545,"'Selamat menjalani ibadah puasa, untuk para #GENERATION_G yang menjalankan! Apa sih momen favorit lo di bulan Ramadan? Sahur, tarawih, atau buka puasa bareng? Ceritain di kolom komen ya!",17-05-18 13:00,,2.0,121.0,,,,,,https://www.instagram.com/p/Bi3iJOgABFJ,,GG,,generation_g,,,IG,
40627,,beauty.skin.paris,Paris,2123,2612,','1780991325007415905,"'Iâ€™m still on a @glossier highðŸ˜because i love my new products and i got a couple of new pink pouchesâœ¨  The products i have are: glossier you solid, mint balm dotcom, coconut balm dotcom, generation g in Leo & Cake, lash slick, haloscope, and boy brow in brown. @glossier really is the minimalist one stop shopðŸ› - - - - - - - #glossier #intothegloss #itgloss #pinkpouch #glossieryou #glossieryousolid #generation_g #cake #leo #mintbalmdotcom #coconutbalmdotcom #balmdotcom #lashslick #mascara #boybrow #haloscope #beautygram #beautyaddict #beautyblogger #beautyjunkie #igbeauty #instabeauty #makeup #makeuplover #makeupaddict #makeupcommunity #makeupjunkie #makeupblogger",17-05-18 11:18,,13.0,143.0,,,,,,https://www.instagram.com/p/Bi3WiyLHoph,,GG,,generation_g,,,IG,
40628,,urbangigs,Urban GiGs,4128,881,','1780956562094026737,"'Welcoming the Holy month of Ramadan, itâ€™s time to sleep less and pray more. Selamat menjalan ibadah puasa buat para #GENERATION_G yang merayakan! Kegiatan apa nih yang paling lo tunggu di bulan Ramadan? #UrbanGiGs",17-05-18 10:09,,3.0,706.0,,,,,,https://www.instagram.com/p/Bi3Oo6sA-_x,,GG,,generation_g,,,IG,
40629,,marycelesteofficial,Mary Celeste Arras,4438,1210,','1780806756706677966,"'HOORAY! Thank you @glossier ðŸ’•I am so excited to try this brand!! I love anything that is good for my skin, and looking pretty is a wonderful, added perk! Pics of this look to come! â€¢ â€¢ â€¢ â€¢ â€¢ â€¢  #dusk #beam #cloudpaints #crush #g #generation_g #boybrow #primer #glossier #makeup #ifeelpretty #skincare #skinfirst #smilealways",17-05-18 5:12,,0.0,22.0,,,,,,https://www.instagram.com/p/Bi2sk9jHfTO,,GG,,generation_g,,,IG,
40630,,anjareswahyudi,Anjar Eswahyudi,1377,1424,','1780476759242752241,"'old, but I like . . a combination that fits with my seven . . #iP5s  #iP7  #generation_g",16-05-18 18:16,,0.0,24.0,,,,,,https://www.instagram.com/p/Bi1hi3dgMDx,,GG,,generation_g,,,IG,
40631,,anglmaria,ANGELINA MELANIA MARIA TOEPOE,1337,587,','1780462033696563008,'Ini muka-muka bahagia karena libur akan segera tiba dan tidak lupa memberikan senyum semangat untuk tugas-tugas yang akan segera berakhir :) â€¢ #indotravellers #journey #ayodolan #labuanbajo #travelling #exploreindonesia #indonesiajuara #TravelwithAngelinaMelania #livefolkindonesia #nature #vsco #vscocam #langkahjauhtrip  #womantraveller #womentravel #travellingyuk #indonesia #indonesiaparadise #wonderfulindonesia #pesonaindonesia #komodoisland #senyuminajadulu #GENERATION_G,16-05-18 17:47,,4.0,339.0,,,,,,https://www.instagram.com/p/Bi1eMlOjZ9A,,GG,,generation_g,,,IG,
40632,,leidynoveria,LEIDY,4209,760,','1779791336418635058,'Single fighter #generation_g,15-05-18 19:34,,0.0,53.0,,,,,,https://www.instagram.com/p/BizFsptjO0y,,GG,,generation_g,,,IG,
40633,,_generation_g,Generation_G,852,714,','1779599028276622090,"'Mana gaya pakai kaos kaki yang lo banget nih, #GENERATION_G? Kasih tau alasan kenapa lo memilih style tersebut di kolom komen dan 5 orang yang beruntung bisa dapat exclusive merchandise dari Generation-G!  Periode: 15-21 Mei 2018",15-05-18 13:12,,21.0,188.0,,,,,,https://www.instagram.com/p/BiyZ-MzDvMK,,GG,,generation_g,,,IG,
40634,,_generation_g,Generation_G,852,714,','1778142826954983082,"'Kopi unik asal gresik ini punya aroma arang yang bikin kopi nya makin kerasa. Unik ya? Jangan lupa cobain kalo jalan-jalan ke Gresik!  Sebutin kopi unik yang pernah lo cobain di kolom komen ya,  #GENERATION_G",13-05-18 13:00,,0.0,65.0,,,,,,https://www.instagram.com/p/BitO3roj4aq,,GG,,generation_g,,,IG,
40635,,iroel_,Choiroel Anwar,3054,2759,','1777900431928553414,'Mei selalu menyenangkan. Banyak yang akan saya rayakan.  Meski sendirian. -sigialia #livefolkindonesia #nikonimages #stayandwander #wanderxwonder #TheInterns2018 #GENERATION_G,13-05-18 4:57,,0.0,64.0,,,,,,https://www.instagram.com/p/BisXwXrHW_G,,GG,,generation_g,,,IG,
40636,,chrispyryry,PureHorseradish,4763,1100,','1777521170258731600,'#lifehack twist open lipstick tube to use up every single ounce of the product you love. #glossier #generation_g,12-05-18 16:24,,1.0,21.0,,,,,,https://www.instagram.com/p/BirBhYuAiJQ,,GG,,generation_g,,,IG,
